id,name,type,league
SH,Sebastian Hoeneß,1,1
MRa,Marcel Rapp,1,1
DWa,David Wagner,1,1
MBa,Manuel Baum,1,1
AB,Achim Beierlorzer,1,1
JML,Jan Moritz Lichte,1,1
LFa,Lucien Favre,1,1
ET,Edin Terzic,1,1
HS,Huub Stevens,1,1
CG,Christian Gross,1,1
BS,Bo Svennson,1,1
BL,Bruno Labbadia,1,1
PD,Pal Dardai,1,1
DG,Dimitrios Grammozis,1,1
UN,Uwe Neuhaus,1,1
FKr,Frank Kramer,1,1
PB,Peter Bosz,1,1
MG,Markus Gisdol,1,1
FF,Friedhelm Funkel,1,1
HH,Heiko Herrlich,1,1
MW,Markus Weinzierl,1,1
FKo,Florian Kohfeldt,1,1
B04,Bayer Leverkusen,2,1
BMG,Borussia Mönchengladbach,2,1
BVB,Borussia Dortmund,2,1
FCA,FC Augsburg,2,1
FCB,Bayern München,2,1
FCH,1. FC Heidenheim 1846,2,1
FCK,1. FC Köln,2,1
FCU,1. FC Union Berlin,2,1
FSVM,1. FSV Mainz 05,2,1
RBL,RB Leipzig,2,1
SCF,SC Freiburg,2,1
SGE,Eintracht Frankfurt,2,1
SVD,SV Darmstadt,2,1
VfB,VfB Stuttgart,2,1
VfLB,VfL Bochum,2,1
VfLW,VfL Wolfsburg,2,1
SVW,Werder Bremen,2,1
TSGH,TSG Hoffenheim,2,1
S04,Schalke 04,2,1
BSC,Hertha BSC,2,1
DSC,Arminia Bielefeld,2,1
