id,name,professionality,type
GS,Gerardo Seoane,2,1
XA,Xabi Alonso,1,1
PM,Pellegrino Matarazzo,2,1
MWI,Michael Wimmer,2,1
FKR,Frank Kramer,2,1
MKR,Matthias Kreutzer,2,1
TR,Thomas Reis,1,1
PD,Pál Dárdai,2,1
NK,Niko Kovac,1,1
MR,Marco Rose,2,1
ET,Edin Terzic,2,1
FM,Felix Magath,1,1
EM,Enrico Maaßen,2,1
SL,Stefan Leitl,1,1
MSN,Marc Schneider,1,1
SH,Sebastian Hoeneß,1,1
AB,André Breitenreiter,1,1
MK,Marco Kostmann,1,1
UF,Uli Forte,1,1
AH,Adi Hütter,1,1
DF,Daniel Farke,2,1
TT,Thomas Tuchel,1,1
JN,Julian Nagelsmann,2,1
HB,Heiko Butscher,1,1
RC,Deportivo La Coruña,1,2
RM,Real Madrid,1,2
SVW,SV Wehen,2,2
FCD,FC Dingolfing,2,2
SGF,SpVgg Greuther Fürth,1,2
FCA,FC Augsburg,1,2
BSC,Hertha BSC,1,2
FCDR,FC Borussia Dröschede,2,2
SCV,SC Verl,2,2
YB,FC Young Boys,1,2
TSG,TSG Hoffenheim,1,2
RS,Red Star ZH,1,2
GAK,Grazer AK,1,2
SVM,SV Meppen,2,2
TSV,TSV 1860 München,1,2
SK,Stuttgarter Kickers,1,2
SGE,Sportgemeinschaft Eintracht Frankfurt,1,2
